imdbId,title,releaseYear,releaseDate,genre,actors,directors,sequel,hitFlop
tt0287537,Love Ke Liye Kuch Bhi Karega,2001,29-Jun-01,Comedy | Crime | Romance,Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre,Eeshwar Nivas,0,2
tt0288273,Uljhan,2001,04-May-01,Drama,Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde,Rajan Johri,0,1
tt0289845,Aks,2001,13-Jul-01,Thriller | Mystery,Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das,Rakeysh Omprakash Mehra,0,2
tt0290326,Tum Bin...: Love Will Find a Way,2001,13-Jul-01,Drama | Romance,Priyanshu Chatterjee | Himanshu Malik | Sandali Sinha | Raqesh Vashisth,Anubhav Sinha,0,4
tt0291376,Nayak: The Real Hero,2001,07-Sep-01,Drama | Action,Anil Kapoor | Rani Mukerji | Amrish Puri | Johnny Lever,S. Shankar,0,2
tt0292490,Dil Chahta Hai,2001,24-Jul-01,Comedy | Drama,Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta,Farhan Akhtar,0,4
tt0292552,Hum Ho Gaye Aap Ke,2001,03-Aug-01,Musical,Fardeen Khan | Reema Sen | Apoorva Agnihotri | Suman Ranganathan,Ahathian | Sunil Kumar Agrawal,0,1
tt0292740,Yeh Raaste Hain Pyaar Ke,2001,10-Aug-01,Romance |Drama,Ajay Devgn | Madhuri Dixit | Preity Zinta | Vikram Gokhale,Deepak S. Shivdasani,0,2
tt0293342,Lajja,2001,19-Sep-01,Drama | Musical | Crime,Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit,Rajkumar Santoshi,0,2
tt0294662,Kaante,2002,20-Dec-02,Action | Crime | Drama,Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar,Sanjay Gupta,0,3
tt0295603,Shirdi Sai Baba,2001,07-Sep-01,Drama | Mystery,Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi,Deepak Balraj Vij,0,1
tt0296535,Bollywood Bound,2003,14-Jan-03,Documentary,Neeru Bajwa | Ruby Bhatia | Vekeana Dhillon | Vikram Dhillon,Nisha Pahuja,0,1
tt0296574,Company,2002,15-Apr-02,Action | Crime | Thriller,Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas,Ram Gopal Varma,0,4
tt0297983,Ittefaq,2001,14-Sep-01,Action | Drama | Thriller,Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,Sanjay Khanna,0,1
tt0298606,Yeh Teraa Ghar Yeh Meraa Ghar,2001,12-Oct-01,Comedy | Drama,Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla,Priyadarshan,0,2
tt0298607,Yeh Zindagi Ka Safar,2001,16-Nov-01,Drama,Ameesha Patel | Jimmy Shergill | Nafisa Ali | Gulshan Grover,Tanuja Chandra,0,1
